rank,variant,live,return,cagr,sharpe,max_dd,oos,trades,positive_windows,median_window_sharpe,worst_window,robustness
29,"sma20/100 mom126 stop4.0 n8 mkt",0,0.4486,0.0899,0.646,-0.1608,0.1039,410,0.583,0.525,-0.0733,0.459
30,"sma50/200 mom252 stop4.0 n12",0,0.4720,0.0939,0.710,-0.2175,0.1306,575,0.583,0.638,-0.0771,0.456
31,"sma20/100 mom252 stop2.5 n12 regime0.5",0,0.1555,0.0341,0.303,-0.2115,-0.0902,904,0.542,0.625,-0.0839,0.431
32,"sma50/200 mom63 stop4.0 n8",0,0.3870,0.0789,0.637,-0.1673,0.0965,310,0.583,0.511,-0.0859,0.426
33,"sma50/200 mom126 stop4.0 n12 mkt",0,0.6090,0.1168,0.853,-0.1872,0.1904,474,0.500,0.540,-0.0653,0.383
34,"sma50/200 mom252 stop4.0 n8 mkt",0,0.3771,0.0771,0.625,-0.1637,0.1162,352,0.542,0.460,-0.0506,0.378
35,"sma20/100 mom63 stop2.5 n8",0,0.8637,0.1555,0.885,-0.2219,0.3123,622,0.542,0.564,-0.1045,0.339
36,"sma50/200 mom252 stop4.0 n8 regime0.5 mkt",0,0.2275,0.0487,0.442,-0.1755,0.1044,332,0.542,0.428,-0.0597,0.318
37,"sma20/100 mom126 stop4.0 n12 mkt",0,0.5430,0.1059,0.713,-0.1701,0.0894,606,0.583,0.406,-0.0823,0.316
38,"sma50/200 mom126 stop2.5 n8",0,0.5764,0.1115,0.725,-0.2320,0.1366,508,0.500,0.563,-0.0770,0.310
39,"sma20/100 mom126 stop2.5 n12 regime0.5",0,0.5542,0.1078,0.682,-0.2205,0.0901,843,0.500,0.528,-0.0961,0.289
40,"sma20/100 mom252 stop2.5 n12",0,0.2863,0.0602,0.470,-0.2279,-0.0215,966,0.542,0.495,-0.1036,0.258
41,"sma20/100 mom252 stop4.0 n12",0,0.3690,0.0757,0.573,-0.2061,0.0617,678,0.625,0.399,-0.0852,0.256
42,"sma50/200 mom63 stop2.5 n8 regime0.5 mkt",0,0.5374,0.1050,0.753,-0.1736,0.1184,404,0.583,0.337,-0.0682,0.247
43,"sma50/200 mom126 stop4.0 n8 regime0.5",0,0.3159,0.0658,0.569,-0.1665,0.0740,313,0.500,0.333,-0.0535,0.224
44,"sma50/200 mom252 stop4.0 n12 mkt",0,0.4118,0.0834,0.614,-0.2034,0.0326,525,0.542,0.386,-0.0691,0.215
45,"sma50/200 mom126 stop4.0 n8",0,0.4068,0.0825,0.641,-0.1761,0.1194,344,0.500,0.342,-0.0510,0.214
46,"sma50/200 mom126 stop4.0 n8 regime0.5 mkt",0,0.2909,0.0611,0.538,-0.1564,0.0880,324,0.500,0.296,-0.0527,0.207
47,"sma50/200 mom63 stop4.0 n12 regime0.5",0,0.5649,0.1096,0.817,-0.1753,0.1439,401,0.583,0.274,-0.0595,0.185
48,"sma50/200 mom126 stop2.5 n12 mkt",0,0.8363,0.1516,0.945,-0.2166,0.2322,714,0.500,0.389,-0.0832,0.164
49,"sma50/200 mom63 stop4.0 n8 regime0.5 mkt",0,0.3597,0.0740,0.634,-0.1704,0.1806,267,0.542,0.274,-0.0797,0.164
50,"sma50/200 mom126 stop2.5 n12",0,0.7481,0.1385,0.844,-0.2329,0.2323,766,0.542,0.362,-0.0830,0.125
